A1,CircStats,circular
A1inv,CircStats,circular
aa2mass,bio3d,protViz
aa,fds,maRketSim
abbreviate,arules,arulesViz
abbreviate,arules,base
abbreviate,arulesViz,base
abc,abc,forams
abc,abc,gvcm.cat
abc,abc,pomp
abc,forams,gvcm.cat
abc,forams,pomp
abc,gvcm.cat,pomp
A,BIGDAWG,simcausal
A,BIGDAWG,vars
abind,abind,shapes
abline,DepthProc,graphics
abline,DepthProc,timeDate
abline,graphics,timeDate
Abortion,BSDA,ltm
Abortion,BSDA,vcdExtra
Abortion,ltm,vcdExtra
abs,base,PivotalR
abs,base,RandomFields
Absent,BSDA,polysat
absorbingStates,clickstream,markovchain
abs,PivotalR,RandomFields
abundance,BEQI2,caribou
acc,acc,lctools
acc,acc,mlr
acc,acc,protr
Accident,Ecdat,vcdExtra
acc,lctools,mlr
acc,lctools,protr
acc,mlr,protr
account,analogsea,imguR
account,analogsea,maRketSim
accum,proteomics,survsim
accuracy,animalTrack,AUC
accuracy,animalTrack,BAT
accuracy,animalTrack,forecast
accuracy,animalTrack,popsom
accuracy,animalTrack,SDMTools
accuracy,animalTrack,StatMeasures
accuracy,AUC,BAT
accuracy,AUC,forecast
accuracy,AUC,popsom
accuracy,AUC,SDMTools
accuracy,AUC,StatMeasures
accuracy,BAT,forecast
accuracy,BAT,popsom
accuracy,BAT,SDMTools
accuracy,BAT,StatMeasures
accuracy,forecast,popsom
accuracy,forecast,SDMTools
accuracy,forecast,StatMeasures
accuracy,popsom,SDMTools
accuracy,popsom,StatMeasures
accuracy,SDMTools,StatMeasures
ace,acepack,ape
ACE,fossil,sprex
ACE,fossil,Tsphere
ACE,sprex,Tsphere
acf,bspec,dse
acf,bspec,stats
acf,bspec,TSA
acf,dse,stats
acf,dse,TSA
Acf,FinTS,forecast
acfplot,coda,dcmle
acfPlot,fBasics,RcmdrPlugin.seeg
acf,stats,TSA
ac,gclus,ggmcmc
ackley,emma,hydroPSO
acompute.CTRinvC,AdaptFit,AdaptFitOS
acor,egcm,nscancor
acorn,abind,Blossom
acosh,base,RandomFields
acp,acp,amap
a,crp.CSFP,GaDiFPT
a,crp.CSFP,gvcm.cat
